"Title","Admin Dashboard - TEXTBOOKS LIBRARY"
"NoSessionMessage","No user logged in"
"NoSessionLink","LOGIN FIRST"
"Name","Dashboard - TEXTBOOKS LIBRARY"
"Message","Welcome"
"Menu1","Log Out"
"Menu2","Home Page"
"Menu3","LANGUAGE"
"Language1","English"
"Language2","Nepali"
"AddFormHeader","Add new book"
"AddLabel01","Book Tag"
"AddLabel02","Book Title"
"AddLabel03","Book language"
"AddLabel04","Upload book file in PDF"
"AddLabel05","Upload book manifest file in XML"
"AddButton","Add Book"
"UploadSuccessMessage","Files added successfully"
"ImageCreationSuccessMessage","Image created from first page"
"UploadManifestSuccessMessage","Manifest file uploaded"
"UploadErrorMessage","Error found in form data/ file upload"
"ImageCreationErrorMessage","Image not created from first page"
"UploadManifestErrorMessage","Manifest file not uploaded"
"DuplicationErrorMessage","Book already exists in database"
"DeleteErrorMessage","Couldn't delete the specified record"
"DeleteSuccessMessage","Record Successfully Deleted"
"SearchFormHeader","Search and map book"
"SearchLabel01","Book Title"
"SearchLabel02","Book Tag"
"SearchButton","Find Book"
"SearchMessage","Records found"
"SearchResultColumn01","Book ID"
"SearchResultColumn02","Book Title"
"SearchResultColumn03","Book Filename"
"SearchResultColumn04","Book Tag"
"SearchResultColumn05","Entry Date"
"SearchResultColumn06","Image Filename"
"CopyrightText","2018, Chandan Regmi"
